id,league_id,league,utc_time,date,time,home,away,ft_ml_h_opening,ft_ml_d_opening,ft_ml_a_opening,ft_ml_h_closing,ft_ml_d_closing,ft_ml_a_closing,ft_ah_handicap_opening,ft_ah_h_opening,ft_ah_a_opening,ft_ah_handicap_closing,ft_ah_h_closing,ft_ah_a_closing,ft_ou_handicap_opening,ft_ou_o_opening,ft_ou_u_opening,ft_ou_handicap_closing,ft_ou_o_closing,ft_ou_u_closing
8435410,34422,Peru Liga 1,1721592900,2024-07-21,17:15,Sporting Cristal,Sport Boys,1.3,5.0,8.5,1.444,4.2,6.0,-1.5,1.925,1.925,-1.0,1.85,1.95,2.75,1.8,2.05,2.75,1.875,1.925
8485039,254,Colombia Primera A,1721593800,2024-07-21,17:30,Millonarios,Atletico Bucaramanga,1.8,3.25,5.0,1.65,3.4,6.5,-0.5,1.8,2.05,-0.75,1.85,1.95,2.0,1.825,2.025,2.0,1.9,1.9
8490377,255,Colombia Primera B,1721593800,2024-07-21,17:30,Tigres FC,Barranquilla FC,1.95,3.0,3.75,1.85,3.3,4.2,-0.5,2.0,1.8,-0.5,1.9,1.9,2.25,1.85,1.95,2.25,1.925,1.875
8499032,232,Argentina Nacional B,1721593800,2024-07-21,17:30,Talleres Remedios,Chacarita Juniors,2.9,2.875,2.5,2.5,2.9,3.2,0.0,1.925,1.925,-0.25,2.05,1.75,1.75,1.85,2.0,1.75,1.95,1.85
7802888,15849,Canada Premier League,1721595600,2024-07-21,18:00,Cavalry FC,Forge FC,2.4,3.1,2.7,2.15,3.3,3.0,0.0,1.775,2.025,-0.25,1.9,1.9,2.25,1.825,1.975,2.5,1.975,1.825
7860131,29286,USA MLS Next Pro League,1721595600,2024-07-21,18:00,Crown Legacy,Atlanta United II,1.444,4.5,5.0,1.533,4.333,4.2,-1.25,1.95,1.85,-1.0,1.875,1.925,3.5,1.85,1.95,3.75,1.925,1.775
7860321,29286,USA MLS Next Pro League,1721595600,2024-07-21,18:00,Chicago Fire II,New England Revolution II,1.444,4.5,5.0,1.571,4.5,4.0,-0.75,1.825,1.975,-1.0,1.9,1.9,3.5,1.9,1.9,3.75,1.9,1.9
8480307,261,Panama LPF,1721595600,2024-07-21,18:00,UMECIT,San Francisco FC,2.625,3.1,2.5,2.9,3.1,2.3,0.0,1.95,1.85,0.25,1.775,2.025,2.0,1.9,1.9,2.25,2.0,1.8
8529478,8496,Saint Kitts  Nevis Premier League,1721595600,2024-07-21,18:00,Conaree United,St Peters FC,4.2,3.6,1.666,4.75,4.0,1.55,0.75,2.075,1.725,1.0,1.9,1.9,3.0,1.8,2.0,3.25,1.925,1.775
8534266,3756,Friendly Match  80 mins play,1721595600,2024-07-21,18:00,Levante U20,Mauritania U20,1.5,4.0,5.0,1.55,3.9,4.75,-1.0,1.925,1.875,-1.0,1.925,1.875,2.75,1.85,1.95,2.75,1.85,1.95
8477325,13059,Ecuador Cup,1721597400,2024-07-21,18:30,Leones Del Norte,Mushuc Runa,4.75,3.75,1.571,3.5,3.25,1.95,0.75,2.05,1.75,0.5,1.9,1.9,2.25,1.975,1.825,2.0,1.875,1.925
8474297,5196,Uruguay Torneo Intermedio,1721597400,2024-07-21,18:30,Boston River,Danubio,2.15,3.2,3.4,2.5,3.1,2.8,-0.25,1.85,1.95,0.0,1.775,2.1,2.25,2.025,1.775,2.0,1.8,2.05
8399333,3573,Bolivia Clausura,1721597400,2024-07-21,18:30,Bolivar,Always Ready,1.7,3.6,4.2,1.533,3.75,5.25,-0.75,1.85,1.95,-1.0,1.9,1.9,2.75,1.8,2.0,3.0,1.875,1.925
