id,league_id,league,utc_time,date,time,home,away,ft_ml_h_opening,ft_ml_d_opening,ft_ml_a_opening,ft_ml_h_closing,ft_ml_d_closing,ft_ml_a_closing,ft_ah_handicap_opening,ft_ah_h_opening,ft_ah_a_opening,ft_ah_handicap_closing,ft_ah_h_closing,ft_ah_a_closing,ft_ou_handicap_opening,ft_ou_o_opening,ft_ou_u_opening,ft_ou_handicap_closing,ft_ou_o_closing,ft_ou_u_closing
7632764,222,Iceland Premier League,1721675700,22/07/2024,16:15,FH Hafnarfjordur,IA Akranes,1.666,4.0,4.2,1.833,3.75,3.6,-0.75,1.875,1.975,-0.5,1.825,1.975,3.5,1.975,1.875,3.25,1.875,1.925
7633102,431,Iceland Premier League Women,1721844000,24/07/2024,15:00,FH Hafnarfjordur Women,Stjarnan Women,,,,,,,,,,,,,,,,,,
7633103,431,Iceland Premier League Women,1721844000,24/07/2024,15:00,Keflavik Women,Thor KA Akureyri Women,,,,,,,,,,,,,,,,,,
7633104,431,Iceland Premier League Women,1721844000,24/07/2024,15:00,Vikingur Reykjavik Women,Throttur Reykjavik Women,,,,,,,,,,,,,,,,,,
7633105,431,Iceland Premier League Women,1721930400,25/07/2024,15:00,Breidablik Women,Fylkir Reykjavik Women,,,,,,,,,,,,,,,,,,
7633106,431,Iceland Premier League Women,1721844000,24/07/2024,15:00,Tindastoll Women,Valur Reykjavik Women,,,,,,,,,,,,,,,,,,
7633894,609,Iceland 2 Deild,1721934900,25/07/2024,16:15,KFG Gardabaer,HotturHuginn,,,,,,,,,,,,,,,,,,
7634530,392,Iceland 1 Deild Women,1721848500,24/07/2024,16:15,Grindavik Women,AftureldingFram Women,,,,,,,,,,,,,,,,,,
7634531,392,Iceland 1 Deild Women,1721934900,25/07/2024,16:15,Fram Reykjavik Women,IA Akranes Women,,,,,,,,,,,,,,,,,,
7635224,472,Iceland 1 Deild,1721934900,25/07/2024,16:15,Grotta Seltjarnarnes,Grindavik,,,,,,,,,,,,,,,,,,
7635225,472,Iceland 1 Deild,1721934900,25/07/2024,16:15,IR Reykjavik,Leiknir Reykjavik,,,,,,,,,,,,,,,,,,
7635226,472,Iceland 1 Deild,1721934900,25/07/2024,16:15,Afturelding,Keflavik,,,,,,,,,,,,,,,,,,
7635227,472,Iceland 1 Deild,1721934900,25/07/2024,16:15,Njardvik,Throttur Reykjavik,,,,,,,,,,,,,,,,,,
7670136,26549,Argentina Liga Profesional,1721943900,25/07/2024,18:45,Lanus,Belgrano,1.9,3.25,4.5,2.05,3.2,4.0,-0.5,2.05,1.8,-0.5,2.05,1.8,2.0,1.875,1.975,2.0,1.875,1.975
7670137,26549,Argentina Liga Profesional,1721860200,24/07/2024,19:30,Godoy Cruz,River Plate,2.9,3.5,2.25,3.8,3.6,1.95,0.25,2.05,1.8,0.5,1.9,1.95,2.5,2.0,1.85,2.5,2.025,1.825
